2019-11-20 11:19:41,990 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [learn.flow.dao.datasource.DataSourceTest], using SpringBootContextLoader
2019-11-20 11:21:33,727 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.kafka.annotation.KafkaBootstrapConfiguration' of type [org.springframework.kafka.annotation.KafkaBootstrapConfiguration$$EnhancerBySpringCGLIB$$30a4c317] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-20 11:21:33,875 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$5cf2b194] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-20 11:21:34,301 [main] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:1010 - {dataSource-1} inited
2019-11-20 11:21:34,494 [main] INFO  [org.hibernate.jpa.internal.util.LogHelper] LogHelper.java:31 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-11-20 11:21:34,562 [main] INFO  [org.hibernate.Version] Version.java:46 - HHH000412: Hibernate Core {5.3.12.Final}
2019-11-20 11:21:34,564 [main] INFO  [org.hibernate.cfg.Environment] Environment.java:213 - HHH000206: hibernate.properties not found
2019-11-20 11:21:34,712 [main] INFO  [org.hibernate.annotations.common.Version] JavaReflectionManager.java:49 - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-11-20 11:21:35,041 [main] INFO  [org.hibernate.dialect.Dialect] Dialect.java:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2019-11-20 11:21:35,235 [main] INFO  [o.s.orm.jpa.LocalContainerEntityManagerFactoryBean] AbstractEntityManagerFactoryBean.java:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-11-20 11:21:35,946 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:171 - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-20 11:21:36,305 [main] WARN  [c.b.mybatisplus.core.toolkit.TableInfoHelper] TableInfoHelper.java:255 - Warn: Could not find @TableId in Class: learn.flow.dao.entity.SysUserInfo.
2019-11-20 11:21:36,865 [main] INFO  [learn.flow.dao.mapepr.SimpleMapperTest] StartupInfoLogger.java:59 - Started SimpleMapperTest in 5.146 seconds (JVM running for 6.95)
2019-11-20 11:21:37,187 [Thread-2] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-20 11:21:37,187 [Thread-2] INFO  [o.s.orm.jpa.LocalContainerEntityManagerFactoryBean] AbstractEntityManagerFactoryBean.java:598 - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-11-20 11:21:37,189 [Thread-2] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:2003 - {dataSource-1} closing ...
2019-11-20 11:21:37,196 [Thread-2] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:2075 - {dataSource-1} closed
2019-11-20 11:24:39,220 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [learn.flow.dao.mapepr.SimpleMapperTest], using SpringBootContextLoader
2019-11-20 11:24:39,226 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [learn.flow.dao.mapepr.SimpleMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-20 11:24:39,227 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [learn.flow.dao.mapepr.SimpleMapperTest]: SimpleMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-20 11:24:39,490 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:235 - Found @SpringBootConfiguration learn.flow.dao.FlowDaoApplication for test class learn.flow.dao.mapepr.SimpleMapperTest
2019-11-20 11:24:39,766 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-11-20 11:24:39,790 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1b1cfb87, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@821330f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6f43c82, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5db6b9cd, org.springframework.test.context.support.DirtiesContextTestExecutionListener@210ab13f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20b2475a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7857fe2, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6f15d60e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1be2019a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@29d80d2b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@58e1d9d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@446a1e84]
2019-11-20 11:25:02,179 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [learn.flow.dao.mapepr.SimpleMapperTest], using SpringBootContextLoader
2019-11-20 11:25:02,231 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [learn.flow.dao.mapepr.SimpleMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-20 11:25:02,243 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [learn.flow.dao.mapepr.SimpleMapperTest]: SimpleMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-20 11:25:02,647 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:235 - Found @SpringBootConfiguration learn.flow.dao.FlowDaoApplication for test class learn.flow.dao.mapepr.SimpleMapperTest
